system,workload,file_name,file_path,repeat,n_samples,n_features,target_name,MAPE,MAE,RMSE
x264,blue_sky_1080p25_short.y4m,blue_sky_1080p25_short.y4m.csv,datasets\x264\blue_sky_1080p25_short.y4m.csv,26,3113,25,time,78.38602961564388,3.1080311283132893,4.00941438235329
x264,blue_sky_1080p25_short.y4m,blue_sky_1080p25_short.y4m.csv,datasets\x264\blue_sky_1080p25_short.y4m.csv,27,3113,25,time,81.09374339283741,3.147283505886449,4.02435556409486
x264,blue_sky_1080p25_short.y4m,blue_sky_1080p25_short.y4m.csv,datasets\x264\blue_sky_1080p25_short.y4m.csv,28,3113,25,time,73.92672482132437,3.0722550368843806,4.010309138380459
x264,blue_sky_1080p25_short.y4m,blue_sky_1080p25_short.y4m.csv,datasets\x264\blue_sky_1080p25_short.y4m.csv,29,3113,25,time,77.1297971743247,3.197812050066275,4.152379952149348
x264,blue_sky_1080p25_short.y4m,blue_sky_1080p25_short.y4m.csv,datasets\x264\blue_sky_1080p25_short.y4m.csv,30,3113,25,time,77.04797714243699,3.1663466061172967,4.083155684790801
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,1,3113,25,time,85.4405185080662,2.617342235324351,3.3809871732151806
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,2,3113,25,time,102.06235732907977,2.6776921404305773,3.422128820971312
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,3,3113,25,time,82.6569832037361,2.5143291255390614,3.250585153351268
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,4,3113,25,time,82.12293804636172,2.6459249898639987,3.5573013363334325
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,5,3113,25,time,84.88719324307843,2.599402131567452,3.3985301822392144
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,6,3113,25,time,96.64209666615011,2.637492233530933,3.3666953401951143
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,7,3113,25,time,88.37649118542568,2.638769759813811,3.4940503151329176
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,8,3113,25,time,88.47028856773751,2.584226611693916,3.3803409623792677
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,9,3113,25,time,85.92353023114762,2.5383145153215354,3.271259519319259
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,10,3113,25,time,92.79390453844007,2.588649704612205,3.368394990938285
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,11,3113,25,time,87.14835397994344,2.590118119841353,3.345689461432647
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,12,3113,25,time,82.0857610568546,2.598438252643299,3.431109627323943
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,13,3113,25,time,81.4776763351463,2.5062278027925395,3.3006241438998387
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,14,3113,25,time,92.2659925652449,2.5499753054831946,3.30510984357242
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,15,3113,25,time,80.79988668491649,2.5121743985428377,3.3155016645665714
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,16,3113,25,time,83.22621828500287,2.6722655395941395,3.4771575563974144
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,17,3113,25,time,88.45780539469706,2.560500906793566,3.342103761760795
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,18,3113,25,time,87.2819404270969,2.5417720314755132,3.327438572776713
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,19,3113,25,time,95.09685818962184,2.6344171855461167,3.403327157138337
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,20,3113,25,time,88.22780423772981,2.5344719602832537,3.303670261635384
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,21,3113,25,time,86.15356316475568,2.521361757070828,3.240404842696533
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,22,3113,25,time,90.92168164175823,2.6171361290501816,3.374025626078624
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,23,3113,25,time,92.69040721898925,2.506716000289804,3.2785820133089647
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,24,3113,25,time,89.1003984763489,2.5855071979984556,3.390958962827064
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,25,3113,25,time,95.00658082950912,2.6441488838380094,3.412244872330865
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,26,3113,25,time,88.8218514110076,2.539258860542096,3.30052466338109
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,27,3113,25,time,91.24830930854607,2.568645149808035,3.3150154372759193
x264,Johnny_1280x720_60_short.y4m,Johnny_1280x720_60_short.y4m.csv,datasets\x264\Johnny_1280x720_60_short.y4m.csv,28,3113,25,time,83.92984531758738,2.530663014508434,3.3400634432324994
