system,workload,baseline_MAPE_mean,baseline_MAPE_std,baseline_MAPE_min,baseline_MAPE_max,baseline_MAE_mean,baseline_MAE_std,baseline_MAE_min,baseline_MAE_max,baseline_RMSE_mean,baseline_RMSE_std,baseline_RMSE_min,baseline_RMSE_max,rf_MAPE_mean,rf_MAPE_std,rf_MAPE_min,rf_MAPE_max,rf_MAE_mean,rf_MAE_std,rf_MAE_min,rf_MAE_max,rf_RMSE_mean,rf_RMSE_std,rf_RMSE_min,rf_RMSE_max,MAPE_improvement_pct,rf_better_MAPE,MAE_improvement_pct,rf_better_MAE,RMSE_improvement_pct,rf_better_RMSE
xz,uiq2-8.bin,82.73089935552298,3.734865137118148,75.35349591094523,89.97907277095321,12.0181966519963,0.2942916577168368,11.466999154021542,12.73371524678677,16.512538234662948,0.945885510902526,14.895167885311531,18.600419569026325,6.476079989701571,0.3279063966686406,5.916300445768488,7.282810966979242,2.124824779741262,0.1953841856355304,1.7798587781415331,2.57181661765873,6.315723464806601,0.9330307430510644,4.772944674604035,8.014298003485269,92.17211460270528,True,82.3199366654704,True,61.75195251600568,True
xz,vmlinux-5.10.tar,28.54759279928092,1.025306255634926,26.05988948679181,30.91654965095173,1.8695710379973045,0.0443733868929898,1.769074640897076,1.9615797196703528,2.271365549405222,0.064706296962434,2.1471232821398343,2.400990423371051,2.0003808058790056,0.1189984516193225,1.7980215100123444,2.328231340652813,0.1518279833689075,0.0083913125532431,0.1382098127976193,0.1685291310515874,0.2356434071154612,0.0251575647037695,0.20313741644815,0.2924214256067446,92.99282142650783,True,91.8789936149446,True,89.62547410401788,True
z3,AUFNIRA_z3.637557.smt2,744.5213454703442,41.82727293510217,664.1945599419932,833.7760503588825,88.06849353059934,2.004920569215996,83.4500781471185,92.0741933201287,100.08334252015638,1.8874375053413508,95.85275214347908,103.55292069678696,0.3677007843295861,0.0133465851092295,0.3412316242504115,0.3997329002961083,0.2976927777777685,0.0202128482402327,0.2720739273927292,0.3456003300329996,0.5691235119762088,0.0318909340075072,0.5246699715153388,0.6427462038133557,99.95061245905619,True,99.66197584874739,True,99.43135041491885,True
z3,LRA_formula_277.smt2,11.11391859152351,0.3098988694010502,10.577555073333665,11.81991231155502,0.3165673673234088,0.0016518679363811,0.3125622211444707,0.3197848424514705,0.3227661662155306,0.0026229827757232,0.3187018584484383,0.327367067015629,0.3329424312502723,0.0258534801913799,0.2856231029534853,0.3985526590423721,0.009137157590758,0.0006548554816598,0.0078607260726061,0.0107627062706262,0.0161802794464931,0.0013385409855267,0.0126520217797594,0.0187240954167333,97.00427505826609,True,97.11367672921783,True,94.98699642648154,True
z3,QF_AUFBV_891_sqlite3.smt2,538.0897353725895,118.15277732426613,316.9326262290336,754.9985742108701,10.089861327760582,0.3433790021428607,9.147575446174772,10.799593485755109,13.30604129461587,0.7717928262871474,11.24825587275507,14.931503338899857,4.465928717303503,2.64104124971388,1.5908246775823471,10.40931735168029,0.4287155564723124,0.0647884002297684,0.291693729372939,0.5609100660065974,1.1783897811188642,0.2232728529592383,0.7365664679105067,1.5592920048622556,99.17004015803958,True,95.75102627731094,True,91.14394916543897,True
z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,13.038515194944097,0.4388243502615021,12.242838422671996,13.941297907230265,0.9605937538385584,0.0378244224057176,0.8887180602193837,1.04137984848294,1.1766540115355884,0.0393281545071572,1.0999421187047396,1.2758377518471749,0.423472256399315,0.0161152833135988,0.3824170251848936,0.4504057303768945,0.0362795764576454,0.001514118350884,0.0328031353135305,0.0385437293729378,0.0546373012515918,0.0022204298589229,0.0501451320237225,0.0588316421703662,96.75214355263762,True,96.22321337061882,True,95.35655335247722,True
z3,QF_BV_bench_3176.smt2,988.080500322402,58.28827080442297,863.5696110670647,1099.1135823145326,132.55347466517458,3.095920125604467,126.06447651722846,137.88853080764633,152.24825371887135,3.802316251372985,142.76394537428695,158.03284976013725,0.9033479065128636,0.0985847183350113,0.7385937151636444,1.2027778680329604,1.5115893270993817,0.4729471039606485,1.128717986798686,3.903254785478532,3.8979243834426183,2.597351133624503,2.9684069325208458,17.587775070414345,99.90857547474945,True,98.85963809630974,True,97.43975757473042,True
z3,QF_BV_bench_935.smt2,1679.54481576307,107.7551951303056,1483.4113806396313,1939.8705155311104,93.59159949391504,1.1402519999978438,91.61512266007172,96.0690879435933,97.51267375786855,1.5123451188858568,95.11454391381923,100.9848918253193,0.6861104749049766,0.0378827858287054,0.6147203301480829,0.7884058251585533,0.9851093344334536,0.0835926896171308,0.818502970297057,1.148515181518193,2.3128689984278803,0.1618409759165146,1.9075437078677693,2.6911257417460184,99.95914902249314,True,98.94743829600058,True,97.62813498051453,True
z3,QF_LIA_tightrhombus,73.77960950567523,8.80364835600604,60.78937717185223,90.95307725362622,0.5859810094271553,0.0270044684511845,0.5376286738132929,0.6360960013151093,0.7987565647510794,0.0230741218378716,0.7514235956375722,0.844996196683729,0.7803131194212709,0.124209185122904,0.6011815985249978,1.1690966170408617,0.0102444227172737,0.0006387935133545,0.0092065181518176,0.0113160616061618,0.0171202572915762,0.0009403347930176,0.0150515017260056,0.0188754608809689,98.94237293386428,True,98.25174834124941,True,97.85663642127167,True
z3,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,5.345909769679237,0.1722897209618723,5.0562330627681495,5.613445100150187,0.7366970606423913,0.0229138442937007,0.6946735174784106,0.7878689709980202,0.8737246530964515,0.0278870547043392,0.8215692277563496,0.9335097259676524,0.1203371351519275,0.0042049201787358,0.1092072493388239,0.1283206500847931,0.017172340942427,0.0005381851162471,0.0159217821782171,0.0180317381738173,0.0250247529875596,0.0012140547663839,0.0231486500686295,0.0272906463879353,97.74898678921872,True,97.66900916810324,True,97.13585362403674,True
z3,QF_NRA_hong_9.smt2,0.2115242511616697,0.0131233687559745,0.1881171061075239,0.2367695966522386,0.0091385067257248,0.0006011064736852,0.0081856259714256,0.0101083713736795,0.0157136708581946,0.002316382582871,0.0119564270096025,0.0202083143858198,0.2297280847702267,0.013452796931669,0.1967225340837627,0.248487195296103,0.0098959955995606,0.0005630959693295,0.0084896039603963,0.0108696369636968,0.0170581262385088,0.0016915952711492,0.0143073549019535,0.0203380895806051,-8.606026736217421,False,-8.288978676390052,False,-8.55595991825851,False
