system,workload,file_name,file_path,n_samples,n_features,target_name,MAPE_mean,MAPE_std,MAPE_min,MAPE_max,MAE_mean,MAE_std,MAE_min,MAE_max,RMSE_mean,RMSE_std,RMSE_min,RMSE_max
dconvert,jpeg-small,jpeg-small.csv,datasets\dconvert\jpeg-small.csv,6764,18,time,3.3884713520274814,0.06078948515036377,3.2146224583456555,3.5320073978791653,0.014536964974513034,0.0002581456003698062,0.01374026376081241,0.015158929040597065,0.018823694881349978,0.00035748258160305755,0.01763820028523383,0.01966569737984689
dconvert,png-large,png-large.csv,datasets\dconvert\png-large.csv,6764,18,time,2.514672836013618,0.03407910928205689,2.4388039192337794,2.5841652549502245,0.06088453131008841,0.0009217367247583334,0.05917275628155965,0.06321940231305818,0.08058236200319376,0.0013085764057560187,0.0783670173748233,0.0852106064506573
dconvert,png-medium,png-medium.csv,datasets\dconvert\png-medium.csv,6764,18,time,2.737784624733466,0.03350654734951525,2.6492747796116722,2.804021960702232,0.01737451856329407,0.00020973959652453698,0.016809400953425074,0.01774647492623324,0.022042234191755994,0.00027085969249526694,0.02139907047348077,0.022670717725245378
dconvert,png-small,png-small.csv,datasets\dconvert\png-small.csv,6764,18,time,3.515873468925785,0.03883103172937232,3.443082743883077,3.623467456843174,0.015746398206262748,0.0001912822462802889,0.015390940102894208,0.01624053591320889,0.020765048754321773,0.000383399236151428,0.020149865491462755,0.021672743657724806
dconvert,psd-large,psd-large.csv,datasets\dconvert\psd-large.csv,6764,18,time,1.5651207298287457,0.031378065995356794,1.5115239457647487,1.6262497561304978,0.5869910060757898,0.0120480304628858,0.5678569321097974,0.6123584461196563,1.0001953905196654,0.019362041513597286,0.9656635704562533,1.04590420337222
dconvert,psd-medium,psd-medium.csv,datasets\dconvert\psd-medium.csv,6764,18,time,2.528647444552911,0.0330847470152845,2.464016144147472,2.6052984478902323,0.03253857130874393,0.0004521915324244961,0.03149032494911011,0.03348209473116072,0.041678939034346045,0.0007413647213589671,0.0399757286736565,0.04312763573209925
dconvert,psd-small,psd-small.csv,datasets\dconvert\psd-small.csv,6764,18,time,3.7832241034451126,0.05760234825979014,3.6566002606744497,3.924302438922634,0.021140475245118393,0.00031387367569670654,0.020458193857190818,0.02190140030878647,0.02678492438382165,0.00038162706094217833,0.025945575156158536,0.027540169646600398
dconvert,svg-large,svg-large.csv,datasets\dconvert\svg-large.csv,6764,18,time,2.3325528713560737,0.03131434645345224,2.257953828428903,2.408615095655295,0.035112913031186445,0.0004723317626398079,0.03393227380950903,0.0362607505970526,0.04495363568884102,0.0006608985635968406,0.043247435478450516,0.04624128891204546
dconvert,svg-medium,svg-medium.csv,datasets\dconvert\svg-medium.csv,6764,18,time,1.9301875992333946,0.02147307014667031,1.8685744243389875,1.9675381880759912,0.029697937513800624,0.00033782134286583455,0.028740680176409072,0.030313995204047754,0.03730193948009687,0.00048108964721836026,0.03619612297451091,0.03820396022328663
dconvert,svg-small,svg-small.csv,datasets\dconvert\svg-small.csv,6764,18,time,2.570298494030307,0.03759973299968459,2.501982892932536,2.6381550001487795,0.014387255278914358,0.0002099200653243135,0.013986633733030024,0.014801465498959342,0.018209756853977056,0.0002722400751525341,0.017666662828578532,0.018724311946124842
