system,workload,file_name,file_path,n_samples,n_features,target_name,MAPE_mean,MAPE_std,MAPE_min,MAPE_max,MAE_mean,MAE_std,MAE_min,MAE_max,RMSE_mean,RMSE_std,RMSE_min,RMSE_max
dconvert,svg-large,svg-large.csv,datasets\dconvert\svg-large.csv,6764,18,time,2.040748600069891,0.02264368860887862,1.980858658758669,2.0801466384410476,0.030756860837639177,0.0003538145596250184,0.02980274991469394,0.03133918945082735,0.03926971308514868,0.0006027270207108271,0.03782313520811534,0.040478513492821805
dconvert,svg-medium,svg-medium.csv,datasets\dconvert\svg-medium.csv,6764,18,time,1.7258302324759647,0.021855180129936775,1.6747179763928342,1.7758962582008306,0.026563118126116416,0.0003462886039699886,0.025759773879964164,0.027362139423664895,0.033206426111645176,0.0004191427174624897,0.03249121640578426,0.03421627489791776
dconvert,svg-small,svg-small.csv,datasets\dconvert\svg-small.csv,6764,18,time,3.5997114636451815,0.03602389627542824,3.530370246315916,3.663641406223629,0.02029615665948302,0.00020699342676287232,0.019944703099533893,0.02067289539845171,0.025442178412787793,0.00025972117183701757,0.024906367017470798,0.02591596547069739
h2,smallbank-1,smallbank-1.csv,datasets\h2\smallbank-1.csv,1954,16,throughput,5.669164348560636,0.13252415387115904,5.488592114963106,6.002096072289886,1111.536537111726,25.759471717771845,1067.7397826958704,1181.351488940281,1339.4669559228203,26.194311237358143,1287.3393116783757,1401.1994329115098
h2,smallbank-10,smallbank-10.csv,datasets\h2\smallbank-10.csv,1954,16,throughput,4.5873334235543535,0.11933932643868117,4.364646085079213,4.839777141724863,623.3521558038439,14.853112638234279,587.3988069510508,648.5777502258869,753.9211653762666,17.540282647308246,714.1001390271348,780.914621835158
h2,tpcc-2,tpcc-2.csv,datasets\h2\tpcc-2.csv,1954,16,throughput,4.16992953103214,0.0781135147912865,4.041260826580724,4.323965355617632,30.432807996828856,0.5196893894261148,29.442070505204622,31.492399380571175,37.57940177005234,0.5953356381791928,36.597781630157755,38.509338993896286
h2,tpcc-8,tpcc-8.csv,datasets\h2\tpcc-8.csv,1954,16,throughput,20.41634201896295,1.16125422023817,18.04534016257682,23.279192540783917,107.23471265017949,4.041660876291502,99.43094733468659,119.03415323293724,162.69932637674322,4.467677133077543,153.6276033305709,174.31288385222265
h2,voter-16,voter-16.csv,datasets\h2\voter-16.csv,1954,16,throughput,7.5628834812405765,0.09927147892905037,7.327965057860171,7.738081629023354,2384.835683770437,23.55992034427783,2325.623915408904,2422.118354845125,2646.9512739874813,32.92871731275856,2555.0062666002973,2705.134593290244
h2,voter-2,voter-2.csv,datasets\h2\voter-2.csv,1954,16,throughput,7.920813270813962,0.10920365608937938,7.732788192957793,8.259561154127208,2486.8636511177197,27.48215990277111,2438.859914144031,2555.7886735209054,2754.8853714252596,36.912304005407364,2674.577885836269,2821.298698061753
h2,ycsb-2400,ycsb-2400.csv,datasets\h2\ycsb-2400.csv,1954,16,throughput,9.039111385756192,0.18347600333402783,8.555340792066175,9.306581796326146,1270.2980245879126,20.88852842939332,1216.0132069276897,1306.2542306509074,1562.877125777955,31.87862096646986,1496.1886029646334,1632.7982235055194
h2,ycsb-600,ycsb-600.csv,datasets\h2\ycsb-600.csv,1954,16,throughput,8.394284619217284,0.21028331144098533,7.842834477840524,8.847936443116168,1680.2592656361787,36.35236948316962,1592.3604882595844,1769.450323730777,2072.7635146178277,47.71991341589617,1968.4527102981465,2168.436964331749
jump3r,beethoven.wav,beethoven.wav.csv,datasets\jump3r\beethoven.wav.csv,4196,16,time,25.760934477879395,0.44619830910578173,24.762744882788933,26.55619134352301,2.248147700289629,0.04889983754946294,2.159845823304056,2.354711787196289,2.897104037947109,0.059020196409112026,2.7901679073002446,3.0092764461348565
jump3r,dual-channel.wav,dual-channel.wav.csv,datasets\jump3r\dual-channel.wav.csv,4196,16,time,23.390115438631714,0.5409867506493984,21.67352691507779,24.27880895943514,0.6151194862027283,0.012626342734261548,0.5806937608032171,0.6405038050924998,0.8525546668668443,0.02190100723880059,0.8147097245108517,0.9077182519389174
jump3r,helix.wav,helix.wav.csv,datasets\jump3r\helix.wav.csv,4196,16,time,25.36784462041861,0.660597490445579,24.163513227226137,26.5363662630084,1.0999942915187442,0.023814840073253057,1.0598025262134227,1.1488736485335085,1.5712602540313003,0.09014365478748759,1.433248935338559,1.7466246781684416
jump3r,single-channel.wav,single-channel.wav.csv,datasets\jump3r\single-channel.wav.csv,4196,16,time,18.9640644415732,0.3797425116634932,18.318190441913877,20.02879568732535,0.3240357539356112,0.006489961443582282,0.31497504049643643,0.3385002098296237,0.4266947968011853,0.008551121077026033,0.41401737426989943,0.4480487790503531
jump3r,speech.wav,speech.wav.csv,datasets\jump3r\speech.wav.csv,4196,16,time,19.976707107895777,0.41225014706025465,19.208872445648975,21.059260346812884,0.811538336900963,0.013558614360508658,0.7726554710353053,0.8316239792427847,1.0242227130019355,0.017678759414755853,0.9732638707524544,1.0546547069654955
jump3r,sweep.wav,sweep.wav.csv,datasets\jump3r\sweep.wav.csv,4196,16,time,11.939896787124267,0.1980328543631582,11.629732927878559,12.375410976492068,0.06950006844075166,0.0013485071599146968,0.0672362633559951,0.07244765271246634,0.08813294810619698,0.0018001119765409556,0.08523102726526426,0.09160719197180732
kanzi,ambivert,ambivert.csv,datasets\kanzi\ambivert.csv,4112,25,time,147.65286863716887,9.174888288521664,128.0830239670753,169.2075349252224,17.13177545414621,0.4448592703236227,16.203163802817738,18.021623053133762,27.46557727766843,0.6756939353800872,26.07276831771228,28.70264078507104
kanzi,artificl,artificl.csv,datasets\kanzi\artificl.csv,4112,25,time,48.10399325036771,1.8194615923815827,44.374795803475344,52.13223568512376,0.19960195630862082,0.00502050869655883,0.19159069575462456,0.2101767038760844,0.2922144434906416,0.007548529071238251,0.27692765537188213,0.30821753700000337
kanzi,deepfield,deepfield.csv,datasets\kanzi\deepfield.csv,4112,25,time,1769.3290941688238,130.71056313527055,1569.6450848621278,2097.0415388511597,19.00343982340363,0.41896641573723753,18.112855276778568,19.626104986700557,28.823291614575265,0.7004341294920804,27.340655779600887,30.17297259633245
kanzi,enwik8,enwik8.csv,datasets\kanzi\enwik8.csv,4112,25,time,274.517533441793,16.825911251826852,242.6442986340463,317.27013539981834,39.721264202554224,1.0161932276171093,37.60273667532021,41.48098890371889,61.80394792355239,1.6179947814035995,58.74254379607897,64.86687098558211
kanzi,fannie_mae_500k,fannie_mae_500k.csv,datasets\kanzi\fannie_mae_500k.csv,4112,25,time,427.39406859296935,26.04539262695757,372.86618281871506,493.18225727586815,34.90473428678238,0.8495391128260744,33.22085664729857,36.2742323442405,53.35403089412993,1.4049709490646807,50.72193282487568,56.01060313660819
kanzi,large,large.csv,datasets\kanzi\large.csv,4112,25,time,147.12245164917616,7.20184850021375,130.94206578172802,167.2435568225311,4.404209869179881,0.10940698248933553,4.180299357613771,4.58608059916094,6.824975085190045,0.17952758978268948,6.486441254092751,7.155765984530137
kanzi,misc,misc.csv,datasets\kanzi\misc.csv,4112,25,time,47.81864267064107,1.5436441703819095,44.57850711257962,51.61983672263515,0.40728649504692527,0.009279683794961779,0.3899376080902624,0.42329066859747655,0.6094232444330496,0.014720224174176273,0.5823146793740235,0.6385953682267208
kanzi,silesia,silesia.csv,datasets\kanzi\silesia.csv,4112,25,time,306.0787724347266,19.329801852990798,271.3181145849127,351.46806958092446,82.71029639701588,2.088419836983606,78.2831141519857,86.21673863124562,128.4149578013773,3.3536663708990284,121.85177627400604,134.38668263848922
kanzi,vmlinux,vmlinux.csv,datasets\kanzi\vmlinux.csv,4112,25,time,2868.7001184435544,148.78117295918068,2606.991346306863,3280.9069356711652,165.8738867034237,3.230489305578282,159.5720312436557,170.8589243883403,224.91442258910482,4.2307068273584,218.43616117801298,233.75665694682814
lrzip,ambivert.wav.tar,ambivert.wav.tar.csv,datasets\lrzip\ambivert.wav.tar.csv,191,11,time,159.1431019070801,36.27472797079896,111.51252318157616,269.7732230282766,14.267585784119822,1.5912720942882073,11.846052970869705,18.46779008390113,22.51590303647443,3.722975439364136,15.677339876060495,31.313026687492705
lrzip,artificl.tar,artificl.tar.csv,datasets\lrzip\artificl.tar.csv,191,11,time,1347.1649150483427,270.502776622398,834.6469055679883,1930.8885206804607,1.2511490944219221,0.059616161630686386,1.1610703342508992,1.3727176395348843,1.402759830599657,0.08605566504828728,1.2503787294192745,1.5923108159666428
lrzip,deepfield.tar,deepfield.tar.csv,datasets\lrzip\deepfield.tar.csv,191,11,time,158.31483142186806,36.10353026344258,111.23243242386724,270.80723648387755,13.97401779731062,1.608506235295157,11.793461744687479,18.26118604564844,21.833575294330696,3.6113661227666154,15.896663582373401,30.21778837309983
lrzip,enwik8.tar,enwik8.tar.csv,datasets\lrzip\enwik8.tar.csv,191,11,time,109.93415620590486,19.861675660611027,76.8945849051151,165.31426523019456,18.930976494010842,1.6674387251532838,16.355292897589838,23.817050878918206,27.336102701234985,3.6865428553601074,20.659428437589202,36.68942789685741
